PI,Diploid,Haploid,Haploid_frailty
SHGD_DH_100,68.33333334,43.33333333,0.367261905
SHGD_DH_103,36.66666667,35,0.045454545
SHGD_DH_105,60.83333334,39.16666667,0.355105105
SHGD_DH_107,70,32.5,0.5625
SHGD_DH_108,51.66666667,31.16666667,0.394879833
SHGD_DH_109,65.83333334,36.66666667,0.446405229
SHGD_DH_111,56.66666667,37.5,0.336805556
SHGD_DH_112,38.33333334,28.33333333,0.259469697
SHGD_DH_113,50,24.16666667,0.520022247
SHGD_DH_116,57.5,44.16666667,0.237373738
SHGD_DH_119,50,25,0.5
SHGD_DH_123,81.66666667,44.16666667,0.462962963
SHGD_DH_128,53.33333334,36.66666667,0.305882353
SHGD_DH_131,65.83333334,38.33333333,0.406209151
SHGD_DH_132,55,25,0.54887218
SHGD_DH_134,87.5,55.83333334,0.358004386
SHGD_DH_136,60,40,0.333333333
SHGD_DH_138,45.5,26.66666667,0.419105691
SHGD_DH_139,63.33333334,56.66666667,0.117647059
SHGD_DH_141,62.83333333,25.83333334,0.586854793
SHGD_DH_146,90.83333334,38.33333334,0.578778678
SHGD_DH_148,82.5,50.83333334,0.379775748
SHGD_DH_150,75,44.16666667,0.409450767
SHGD_DH_156,60.83333334,25,0.593181818
SHGD_DH_157,60.83333334,44.16666667,0.276515152
SHGD_DH_163,59.33333334,41.66666667,0.302656547
SHGD_DH_165,65.83333333,34.33333334,0.476379975
SHGD_DH_167,38.33333333,19.16666667,0.5
SHGD_DH_170,90.83333334,53.33333334,0.412457913
SHGD_DH_171,60,35.83333334,0.40625
SHGD_DH_172,40,27,0.318571429
SHGD_DH_174,71.66666667,56.66666667,0.206709957
SHGD_DH_176,61.66666667,46.66666667,0.242647059
SHGD_DH_180,74.16666667,56.66666667,0.232810921
SHGD_DH_181,67.5,45,0.333536586
SHGD_DH_182,68.33333334,42.5,0.378354204
SHGD_DH_183,88.33333334,59.16666667,0.328663793
SHGD_DH_184,53.33333334,34.16666667,0.345128205
SHGD_DH_186,65.83333334,41.66666667,0.367948718
SHGD_DH_187,81.66666667,53.33333333,0.346938776
SHGD_DH_188,81.66666667,35,0.571127946
SHGD_DH_190,64.16666667,51.66666667,0.189808482
SHGD_DH_193,64.16666667,30.83333334,0.513211383
