PI,Diploid,Haploid,Haploid_frailty
SHGD_DH_202,13.83333333,13.5,0.008519389
SHGD_DH_203,24.83333333,22.66666667,0.081998544
SHGD_DH_204,12.83333334,13.16666667,-0.040277778
SHGD_DH_210,14.33333334,15.66666667,-0.094308944
SHGD_DH_211,20.16666667,16.66666667,0.173553719
SHGD_DH_214,12,12.66666667,-0.055555556
SHGD_DH_217,11.5,10.5,0.077370304
SHGD_DH_218,10,11.66666667,-0.177142857
SHGD_DH_220,23,19.5,0.156565657
SHGD_DH_221,16,15.66666667,0.01754386
SHGD_DH_223,11.16666667,11.16666667,-0.004480287
SHGD_DH_224,15.66666667,15.33333334,0.02585034
SHGD_DH_225,16.83333334,19,-0.128431373
Grand Total,16.77878788,15.59348026,0.049295435
