PI,Diploid ,Haploid,Haploid_frailty
SHGD_DH_096,25.33333333,23.33333333,0.078947368
SHGD_DH_097,35.53333333,28.75,0.190447789
SHGD_DH_099,26.41666667,20.25,0.233674363
SHGD_DH_100,29.43333334,24.16666667,0.182345527
SHGD_DH_103,22.33333333,24,-0.074626866
SHGD_DH_105,27.33333334,25.08333334,0.072823494
SHGD_DH_107,26.08333334,20.25,0.22504085
SHGD_DH_108,28.91666667,23.91666667,0.172945319
SHGD_DH_109,35.5,32.63333334,0.08083765
SHGD_DH_111,28,26.28333334,0.044150538
SHGD_DH_112,23.33333334,20.36666667,0.121908272
SHGD_DH_113,26.21666667,22.13333333,0.151469945
SHGD_DH_116,32.06666667,26.91666667,0.16055497
SHGD_DH_119,31.66666667,17.86666667,0.435789474
SHGD_DH_123,35.33333334,26.91666667,0.233645277
SHGD_DH_128,34.6,28,0.189979201
SHGD_DH_131,21.33333334,17.83333334,0.165445666
SHGD_DH_132,29.96666667,17.5,0.416293373
SHGD_DH_134,33.16666667,26.83333334,0.190846636
SHGD_DH_136,33.16666667,31.45,0.051691919
SHGD_DH_138,24.05,22,0.085235131
SHGD_DH_139,32.55,28.06666667,0.137705658
SHGD_DH_141,28.71666667,21.16666667,0.262199396
SHGD_DH_146,37.58333334,25.86666667,0.310268562
SHGD_DH_148,28.5,24.16666667,0.154220335
SHGD_DH_150,32.5,26,0.199705077
SHGD_DH_156,27.56666667,22.16666667,0.199092761
SHGD_DH_163,28.11666667,22.16666667,0.211584141
SHGD_DH_165,30.16666667,24.83333334,0.172086721
SHGD_DH_167,24.08333333,20.01666667,0.168935762
SHGD_DH_170,28.96666667,22.46666667,0.222871469
SHGD_DH_171,28.41666667,22.5,0.201764666
SHGD_DH_172,24.25,18.33333334,0.24520276
SHGD_DH_174,33.16666667,24.83333334,0.250508751
SHGD_DH_176,32.66666667,26.25,0.196040869
SHGD_DH_180,30.33333333,22.5,0.255802708
SHGD_DH_181,28.63333334,20.83333334,0.270636729
SHGD_DH_182,37.16666667,32,0.139702333
SHGD_DH_183,35.33333333,24,0.321546273
SHGD_DH_184,35,27.16666667,0.224127373
SHGD_DH_186,29,25.83333334,0.107461692
SHGD_DH_187,32.33333333,21.83333333,0.324742268
SHGD_DH_188,28.13333334,25.5,0.090577568
SHGD_DH_190,37.83333333,29.66666667,0.21707355
SHGD_DH_193,27.16666667,24,0.116942771
SHGD_DH_194,33.88333334,25.58333334,0.245226136
SHGD_DH_195,33.56666667,28.33333334,0.155923862
SHGD_DH_196,37,28.75,0.217161017
SHGD_DH_197,33.8,27.66666667,0.181407925
SHGD_DH_198,29.08333334,25.33333334,0.128014324
SHGD_DH_200,46.33333333,37,0.200601013
SHGD_DH_201,27.33333333,21.18333334,0.221680622
SHGD_DH_202,30.46666667,24.83333333,0.18467045
SHGD_DH_203,26.38333334,26.41666667,-0.001771946
SHGD_DH_204,40.58333334,27.41666667,0.323152952
SHGD_DH_210,28.83333334,22,0.235373054
SHGD_DH_211,29.83333334,17.5,0.423668418
SHGD_DH_214,35.5,24.13333334,0.315869219
SHGD_DH_217,30.75,26.96666667,0.122748397
SHGD_DH_218,25.76666667,23.23333333,0.096169085
SHGD_DH_220,28.76666667,26.5,0.034803593
SHGD_DH_221,21.41666667,20.33333334,0.050811531
SHGD_DH_223,36.5,31.91666667,0.12460344
SHGD_DH_224,25.5,18.75,0.266025641
SHGD_DH_225,32.66666667,26.33333333,0.193541667
Grand Total,30.72093664,24.36574839,0.200021254
